parameter,value,min_makespan_quarters,min_makespan_years,teams_needed_for_longest,feasible_makespan,estimated_teams_utilization,notes,makespan_base_quarters,makespan_base_years,makespan_seasonal_quarters,makespan_seasonal_years,productivity_change_pct,quarters_to_start_all,longest_corridor_duration,estimated_total_duration,start_bottleneck,min_teams_needed,feasible,optimal_teams,team_utilization,estimated_makespan,winter_multiplier,summer_multiplier,avg_productivity,makespan_quarters,makespan_years,makespan_change_pct,alpha,beta,alpha_beta_ratio,estimated_teams,estimated_total_cost
max_teams,2,59.0,14.75,2.0,59.0,0.5,Max 2 teams available,,,,,,,,,,,,,,,,,,,,,,,,,
max_teams,4,30.0,7.5,2.0,30.0,1.0,Max 4 teams available,,,,,,,,,,,,,,,,,,,,,,,,,
max_teams,6,20.0,5.0,2.0,20.0,1.0,Max 6 teams available,,,,,,,,,,,,,,,,,,,,,,,,,
max_teams,8,15.0,3.75,2.0,16.0,1.0,Max 8 teams available,,,,,,,,,,,,,,,,,,,,,,,,,
max_teams,10,12.0,3.0,2.0,16.0,1.0,Max 10 teams available,,,,,,,,,,,,,,,,,,,,,,,,,
construction_rate,0.7,,,,,,Rate: 0.7 km/quarter/team,23.0,5.75,25.0,6.25,-30.000000000000004,,,,,,,,,,,,,,,,,,,,
construction_rate,0.85,,,,,,Rate: 0.85 km/quarter/team,19.0,4.75,21.0,5.25,-15.000000000000002,,,,,,,,,,,,,,,,,,,,
construction_rate,1.0,,,,,,Rate: 1.0 km/quarter/team,16.0,4.0,18.0,4.5,0.0,,,,,,,,,,,,,,,,,,,,
construction_rate,1.15,,,,,,Rate: 1.15 km/quarter/team,14.0,3.5,16.0,4.0,14.999999999999991,,,,,,,,,,,,,,,,,,,,
construction_rate,1.3,,,,,,Rate: 1.3 km/quarter/team,13.0,3.25,14.0,3.5,30.000000000000004,,,,,,,,,,,,,,,,,,,,
max_starts_per_quarter,1,,,,,,Max 1 starts per quarter,,,,,,8.0,35.0,43.0,YES,,,,,,,,,,,,,,,,
max_starts_per_quarter,2,,,,,,Max 2 starts per quarter,,,,,,4.0,35.0,39.0,YES,,,,,,,,,,,,,,,,
max_starts_per_quarter,3,,,,,,Max 3 starts per quarter,,,,,,3.0,35.0,38.0,NO,,,,,,,,,,,,,,,,
max_starts_per_quarter,4,,,,,,Max 4 starts per quarter,,,,,,2.0,35.0,37.0,NO,,,,,,,,,,,,,,,,
planning_horizon,24,,,,,,Horizon: 24 quarters (6.0 years),,,,,,,,,,5.0,True,5.0,0.625,24.0,,,,,,,,,,,
planning_horizon,28,,,,,,Horizon: 28 quarters (7.0 years),,,,,,,,,,4.0,True,4.0,0.5,28.0,,,,,,,,,,,
planning_horizon,32,,,,,,Horizon: 32 quarters (8.0 years),,,,,,,,,,4.0,True,4.0,0.5,32.0,,,,,,,,,,,
planning_horizon,36,,,,,,Horizon: 36 quarters (9.0 years),,,,,,,,,,3.0,True,3.0,0.375,36.0,,,,,,,,,,,
planning_horizon,40,,,,,,Horizon: 40 quarters (10.0 years),,,,,,,,,,3.0,True,3.0,0.375,40.0,,,,,,,,,,,
seasonal_productivity,Mild Winter,,,,,,"Winter: 0.8, Summer: 1.2",,,,,,,,,,,,,,,0.8,1.2,1.0,16.0,4.0,-5.882352941176472,,,,,
seasonal_productivity,Normal,,,,,,"Winter: 0.6, Summer: 1.2",,,,,,,,,,,,,,,0.6,1.2,0.9500000000000001,17.0,4.25,0.0,,,,,
seasonal_productivity,Harsh Winter,,,,,,"Winter: 0.4, Summer: 1.2",,,,,,,,,,,,,,,0.4,1.2,0.9,18.0,4.5,5.882352941176472,,,,,
seasonal_productivity,No Seasonality,,,,,,"Winter: 1.0, Summer: 1.0",,,,,,,,,,,,,,,1.0,1.0,1.0,16.0,4.0,-5.882352941176472,,,,,
seasonal_productivity,Enhanced Summer,,,,,,"Winter: 0.6, Summer: 1.4",,,,,,,,,,,,,,,0.6,1.4,1.0,16.0,4.0,-5.882352941176472,,,,,
objective_weights,Time Critical,,,,,,"α=5.0, β=5.0, ratio=1.000",,,,,,,,,,,,,,18.0,,,,,,,5.0,5.0,1.0,6.0,27.0
objective_weights,Balanced,,,,,,"α=1.0, β=10.0, ratio=0.100",,,,,,,,,,,,,,27.0,,,,,,,1.0,10.0,0.1,4.0,27.0
objective_weights,Cost Critical,,,,,,"α=0.5, β=50.0, ratio=0.010",,,,,,,,,,,,,,27.0,,,,,,,0.5,50.0,0.01,4.0,27.0
objective_weights,Minimize Teams,,,,,,"α=0.1, β=100.0, ratio=0.001",,,,,,,,,,,,,,27.0,,,,,,,0.1,100.0,0.001,4.0,27.0
objective_weights,Minimize Time,,,,,,"α=10.0, β=1.0, ratio=10.000",,,,,,,,,,,,,,14.0,,,,,,,10.0,1.0,10.0,8.0,28.0
